Season;FG;Spp;d13C;d15N;Size
Dry;Baseline_benthic;Crassostrea rhizophorae;-20.45;9.97;Not_apply
Dry;Baseline_benthic;Crassostrea rhizophorae;-20.47;9.94;Not_apply
Dry;Baseline_benthic;Crassostrea rhizophorae;-20.84;9.62;Not_apply
Dry;Baseline_benthic;Crassostrea rhizophorae;-20.15;9.21;Not_apply
Dry;Baseline_benthic;Crassostrea rhizophorae;-19.44;8.3;Not_apply
Wet;Baseline_benthic;Crassostrea rhizophorae;-24.06;8.31;Not_apply
Wet;Baseline_benthic;Crassostrea rhizophorae;-23.86;9.05;Not_apply
Wet;Baseline_benthic;Crassostrea rhizophorae;-23.51;8.94;Not_apply
Wet;Baseline_benthic;Crassostrea rhizophorae;-23.3;8.68;Not_apply
Dry;Baseline_benthic;Mugil curema;-20.68;9.11;Not_apply
Dry;Baseline_benthic;Mugil curema;-20.53;8.44;Not_apply
Dry;Baseline_benthic;Mugil curema;-20.92;8.04;Not_apply
Dry;Baseline_benthic;Mugil curema;-21.15;8.1;Not_apply
Dry;Baseline_benthic;Mugil curema;-20.73;8.12;Not_apply
Wet;Baseline_benthic;Mugil curema;-24.47;9.39;Not_apply
Wet;Baseline_benthic;Mugil curema;-24.03;8.25;Not_apply
Wet;Baseline_benthic;Mugil curema;-24.67;8.3;Not_apply
Wet;Baseline_benthic;Mugil curema;-24.58;8.9;Not_apply
Wet;Baseline_benthic;Mugil curema;-23.28;8.61;Not_apply
Dry;Baseline_pelagic;Perna perna;-21.06;8.09;Not_apply
Dry;Baseline_pelagic;Perna perna;-20.01;8.35;Not_apply
Dry;Baseline_pelagic;Perna perna;-20.02;8.47;Not_apply
Dry;Baseline_pelagic;Perna perna;-21.57;8.39;Not_apply
Dry;Baseline_pelagic;Perna perna;-20.4;8.35;Not_apply
Wet;Baseline_pelagic;Perna perna;-20.81;8.91;Not_apply
Wet;Baseline_pelagic;Perna perna;-20.6;8.39;Not_apply
Wet;Baseline_pelagic;Perna perna;-20.83;8.64;Not_apply
