Month;Week;Year;Reference;Precipitation;Temperature
September;week1;2021;São Mateus;35.8;22.81755952
September;week2;2021;São Mateus;0;24.14315476
September;week3;2021;São Mateus;0.4;23.66041667
September;week4;2021;São Mateus;0.4;22.98078704
October;week1;2021;São Mateus;14.4;25.6014881
October;week2;2021;São Mateus;107.6;22.14583333
October;week3;2021;São Mateus;26.2;24.16815476
October;week4;2021;São Mateus;69.6;23.95958333
November;week1;2021;São Mateus;39.2;24.66488095
November;week2;2021;São Mateus;127.2;22.79107143
November;week3;2021;São Mateus;20.6;24.00833333
November;week4;2021;São Mateus;6.8;24.52847222
December;week1;2021;São Mateus;107.4;24.88928571
December;week2;2021;São Mateus;157.6;24.03303571
December;week3;2021;São Mateus;53.8;25.29761905
December;week4;2021;São Mateus;99.2;24.7425
January;week1;2022;Nova Vicosa;22.8;25.7547619
January;week2;2022;Nova Vicosa;39.4;26.01607143
January;week3;2022;Nova Vicosa;1;26.13244048
January;week4;2022;Nova Vicosa;39.2;25.84728033
February;week1;2022;Nova Vicosa;112.8;25.46607143
February;week2;2022;Nova Vicosa;4.8;25.96160714
February;week3;2022;Nova Vicosa;71.6;25.43035714
February;week4;2022;Nova Vicosa;16;25.39821429
March;week1;2022;Nova Vicosa;8;25.87113095
March;week2;2022;Nova Vicosa;2.4;25.77708333
March;week3;2022;Nova Vicosa;104.6;25.20208333
March;week4;2022;Nova Vicosa;30.8;25.08020833
April;week1;2022;Nova Vicosa;2.4;25.97738095
April;week2;2022;Nova Vicosa;0;26.46309524
April;week3;2022;Nova Vicosa;15.8;23.4952381
April;week4;2022;Nova Vicosa;0.8;25.03865741
May;week1;2022;Nova Vicosa;0.6;25.01309524
May;week2;2022;Nova Vicosa;0;23.11577381
May;week3;2022;Nova Vicosa;8.4;21.90481928
May;week4;2022;Nova Vicosa;56.2;20.92895833
June;week1;2022;Nova Vicosa;4.4;21.72261905
June;week2;2022;Nova Vicosa;0.2;21.31904762
June;week3;2022;Nova Vicosa;0;20.5360119
June;week4;2022;Nova Vicosa;1;20.78240741
July;week1;2022;Nova Vicosa;13.6;20.78958333
July;week2;2022;Nova Vicosa;19.2;20.48809524
July;week3;2022;Nova Vicosa;3.2;21.00327381
July;week4;2022;Nova Vicosa;2.8;21.126875
August;week1;2022;Nova Vicosa;0;22.32440476
August;week2;2022;Nova Vicosa;0.2;21.58541667
August;week3;2022;Nova Vicosa;3.6;20.91279762
August;week4;2022;Nova Vicosa;1;20.72145833
