species;month;year;Season;Size;tl;d13C;d15N;CN
Lutjanus jocu;9;2021;Dry;<100 mm;85;-20.25;12.17;3.18
Lutjanus jocu;9;2021;Dry;<100 mm;80;-20.84;12.21;3.2
Lutjanus jocu;9;2021;Dry;<100 mm;76;-20.07;12.45;3.18
Lutjanus jocu;9;2021;Dry;<100 mm;72;-20.32;11.72;3.22
Lutjanus jocu;9;2021;Dry;<100 mm;50;-19.87;12.7;3.25
Lutjanus jocu;3;2022;Wet;>100 mm;131;-22.11;13.13;3.16
Lutjanus jocu;3;2022;Wet;>100 mm;135;-22.74;12.59;3.18
Lutjanus jocu;3;2022;Wet;>100 mm;114;-23.27;12.97;3.17
Lutjanus jocu;3;2022;Wet;>100 mm;112;-21.86;13.38;3.18
Lutjanus jocu;3;2022;Wet;>100 mm;180;-21.83;12.99;3.19
Lutjanus jocu;3;2022;Wet;>100 mm;130;-22.57;13.7;3.16
Lutjanus jocu;3;2022;Wet;>100 mm;155;-21.52;12.51;3.17
Lutjanus jocu;3;2022;Wet;>100 mm;220;-24.55;12.35;3.18
Lutjanus jocu;3;2022;Wet;>100 mm;160;-22.14;13.07;3.17
Lutjanus jocu;3;2022;Wet;>100 mm;245;-23.95;11.98;3.16
Lutjanus jocu;3;2022;Wet;>100 mm;177;-21.5;13.12;3.16
Lutjanus jocu;3;2022;Wet;>100 mm;156;-22.91;12.78;3.13
Lutjanus jocu;3;2022;Wet;>100 mm;172;-22.24;13.83;3.17
Lutjanus jocu;3;2022;Wet;>100 mm;156;-23.87;12.03;3.14
Lutjanus jocu;3;2022;Wet;>100 mm;158;-23.41;13.48;3.16
Lutjanus jocu;3;2022;Wet;>100 mm;162;-22.37;13.59;3.14
Lutjanus jocu;3;2022;Wet;>100 mm;153;-23.98;11.73;3.26
Lutjanus jocu;3;2022;Wet;>100 mm;146;-22.63;11.91;3.37
Lutjanus jocu;3;2022;Wet;>100 mm;124;-22.77;12.85;3.27
Lutjanus jocu;3;2022;Wet;<100 mm;64;-21.61;11.6;3.16
Lutjanus jocu;3;2022;Wet;<100 mm;56;-23.35;12.1;3.15
Lutjanus jocu;3;2022;Wet;<100 mm;59;-22.74;11.57;3.17
Lutjanus jocu;3;2022;Wet;<100 mm;56;-22.13;11.62;3.23
Lutjanus jocu;3;2022;Wet;<100 mm;56;-21.51;11.98;3.25
Lutjanus jocu;3;2022;Wet;<100 mm;57;-22.54;11.82;3.2
Lutjanus jocu;3;2022;Wet;<100 mm;51;-21.96;11.17;3.22
Lutjanus jocu;3;2022;Wet;<100 mm;43;-22.27;12.05;3.22
Lutjanus jocu;3;2022;Wet;<100 mm;33;-22.03;11.54;3.25
Lutjanus jocu;3;2022;Wet;<100 mm;37;-21.83;11.48;3.31
Lutjanus jocu;3;2022;Wet;<100 mm;31;-22.48;10.3;3.35
Lutjanus jocu;3;2022;Wet;<100 mm;29;-21.21;9.61;3.22
Lutjanus jocu;3;2022;Wet;<100 mm;32;-21.52;9.8;3.32
Lutjanus jocu;3;2022;Wet;<100 mm;32;-24.01;9.87;3.3
Lutjanus jocu;1;2022;Wet;>100 mm;133;-21.64;12.5;2.97
Lutjanus jocu;1;2022;Wet;>100 mm;106;-21.33;13.45;3.23
Lutjanus jocu;1;2022;Wet;<100 mm;92;-22.99;12.31;3.23
Lutjanus jocu;1;2022;Wet;<100 mm;86;-23.03;11.9;3.23
Lutjanus jocu;1;2022;Wet;<100 mm;83;-22.9;12.52;3.24
Lutjanus jocu;1;2022;Wet;>100 mm;144;-21.46;13.04;3.21
Lutjanus jocu;1;2022;Wet;>100 mm;109;-22.71;12;3.24
Lutjanus jocu;3;2022;Wet;<100 mm;44;-23.55;12.34;3.28
Lutjanus jocu;3;2022;Wet;>100 mm;122;-21.96;13.44;3.22
Lutjanus jocu;3;2022;Wet;<100 mm;93;-23.36;11.9;3.2
Lutjanus jocu;3;2022;Wet;>100 mm;133;-23.12;12.22;3.22
Lutjanus jocu;4;2022;Dry;>100 mm;129;-20.8;13.46;3.22
Lutjanus jocu;4;2022;Dry;<100 mm;57;-21.85;11.32;3.3
Lutjanus jocu;6;2022;Dry;>100 mm;125;-22.21;12.22;3.2
Lutjanus jocu;6;2022;Dry;<100 mm;100;-21.7;12.66;3.21
Lutjanus jocu;6;2022;Dry;<100 mm;63;-20.34;10.63;3.19
Lutjanus jocu;6;2022;Dry;<100 mm;41;-21.81;10.18;3.31
Lutjanus jocu;7;2022;Dry;<100 mm;38;-22;10.16;3.32
Lutjanus jocu;8;2022;Dry;>100 mm;122;-22.06;13.99;3.18
