d13C,d15N,sample,tl
-21.209,9.613,PX351,29
-22.48,10.3,PX350,31
-21.523,9.799,PX352,32
-24.014,9.867,PX353,32
-22.031,11.543,PX348,33
-21.827,11.484,PX349,37
-22.002,10.162,PX376,38
-21.811,10.182,PX375,41
-22.268,12.049,PX347,43
-23.551,12.341,PX366,44
-19.872,12.695,PX085,50
-21.964,11.17,PX346,51
-23.35,12.105,PX341,56
-22.127,11.618,PX343,56
-21.515,11.983,PX344,56
-22.541,11.82,PX345,57
-21.854,11.32,PX371,57
-22.736,11.565,PX342,59
-20.34,10.635,PX374,63
-21.611,11.599,PX340,64
-20.319,11.72,PX084,72
-20.071,12.453,PX083,76
-20.837,12.206,PX082,80
-22.9,12.521,PX363,83
-20.254,12.166,PX081,85
-23.027,11.898,PX362,86
-22.988,12.306,PX361,92
-23.359,11.898,PX368,93
-21.7,12.659,PX373,100
-21.331,13.452,PX360,106
-22.706,11.999,PX365,109
-21.863,13.382,PX257,112
-23.266,12.967,PX225,114
-21.965,13.435,PX367,122
-22.058,13.994,PX377,122
-22.774,12.849,PX339,124
-22.205,12.22,PX372,125
-20.8,13.459,PX370,129
-22.571,13.699,PX259,130
-22.115,13.126,PX223,131
-21.635,12.497,PX359,133
-23.125,12.217,PX369,133
-22.736,12.588,PX224,135
-21.46,13.038,PX364,144
-22.632,11.907,PX338,146
-23.977,11.731,PX337,153
-21.522,12.514,PX260,155
-22.913,12.781,PX332,156
-23.875,12.029,PX334,156
-23.414,13.476,PX335,158
-22.136,13.073,PX262,160
-22.374,13.585,PX336,162
-22.237,13.826,PX333,172
-21.504,13.116,PX331,177
-21.831,12.995,PX258,180
-24.55,12.35,PX261,220
-23.95,11.98,PX330,245
