Group;d13C;d15N
<100 mm;-20.25;12.17
<100 mm;-20.84;12.21
<100 mm;-20.07;12.45
<100 mm;-20.32;11.72
<100 mm;-19.87;12.7
>100 mm;-22.11;13.13
>100 mm;-22.74;12.59
>100 mm;-23.27;12.97
>100 mm;-21.86;13.38
>100 mm;-21.83;12.99
>100 mm;-22.57;13.7
>100 mm;-21.52;12.51
>100 mm;-24.55;12.35
>100 mm;-22.14;13.07
>100 mm;-23.95;11.98
>100 mm;-21.5;13.12
>100 mm;-22.91;12.78
>100 mm;-22.24;13.83
>100 mm;-23.87;12.03
>100 mm;-23.41;13.48
>100 mm;-22.37;13.59
>100 mm;-23.98;11.73
>100 mm;-22.63;11.91
>100 mm;-22.77;12.85
<100 mm;-21.61;11.6
<100 mm;-23.35;12.1
<100 mm;-22.74;11.57
<100 mm;-22.13;11.62
<100 mm;-21.51;11.98
<100 mm;-22.54;11.82
<100 mm;-21.96;11.17
<100 mm;-22.27;12.05
<100 mm;-22.03;11.54
<100 mm;-21.83;11.48
<100 mm;-22.48;10.3
<100 mm;-21.21;9.61
<100 mm;-21.52;9.8
<100 mm;-24.01;9.87
>100 mm;-21.64;12.5
>100 mm;-21.33;13.45
<100 mm;-22.99;12.31
<100 mm;-23.03;11.9
<100 mm;-22.9;12.52
>100 mm;-21.46;13.04
>100 mm;-22.71;12
<100 mm;-23.55;12.34
>100 mm;-21.96;13.44
<100 mm;-23.36;11.9
>100 mm;-23.12;12.22
>100 mm;-20.8;13.46
<100 mm;-21.85;11.32
>100 mm;-22.21;12.22
<100 mm;-21.7;12.66
<100 mm;-20.34;10.63
<100 mm;-21.81;10.18
<100 mm;-22;10.16
>100 mm;-22.06;13.99
Dry;-20.25;12.17
Dry;-20.84;12.21
Dry;-20.07;12.45
Dry;-20.32;11.72
Dry;-19.87;12.7
Wet;-22.11;13.13
Wet;-22.74;12.59
Wet;-23.27;12.97
Wet;-21.86;13.38
Wet;-21.83;12.99
Wet;-22.57;13.7
Wet;-21.52;12.51
Wet;-24.55;12.35
Wet;-22.14;13.07
Wet;-23.95;11.98
Wet;-21.5;13.12
Wet;-22.91;12.78
Wet;-22.24;13.83
Wet;-23.87;12.03
Wet;-23.41;13.48
Wet;-22.37;13.59
Wet;-23.98;11.73
Wet;-22.63;11.91
Wet;-22.77;12.85
Wet;-21.61;11.6
Wet;-23.35;12.1
Wet;-22.74;11.57
Wet;-22.13;11.62
Wet;-21.51;11.98
Wet;-22.54;11.82
Wet;-21.96;11.17
Wet;-22.27;12.05
Wet;-22.03;11.54
Wet;-21.83;11.48
Wet;-22.48;10.3
Wet;-21.21;9.61
Wet;-21.52;9.8
Wet;-24.01;9.87
Wet;-21.64;12.5
Wet;-21.33;13.45
Wet;-22.99;12.31
Wet;-23.03;11.9
Wet;-22.9;12.52
Wet;-21.46;13.04
Wet;-22.71;12
Wet;-23.55;12.34
Wet;-21.96;13.44
Wet;-23.36;11.9
Wet;-23.12;12.22
Dry;-20.8;13.46
Dry;-21.85;11.32
Dry;-22.21;12.22
Dry;-21.7;12.66
Dry;-20.34;10.63
Dry;-21.81;10.18
Dry;-22;10.16
Dry;-22.06;13.99
